R001 REQUESTED SEATS ARE GREATER THAN AVAILABLE SEATS
R002 J20,J19
R003 J18,J17
R004 J16,J15
R005 J14,J13
R006 J12,J11,J10
R007 J9,J8,J7,J6
R008 J5,J4,J3
R009 J2,J1
R010 I20,I19
R011 I18,I17,I16
R012 I15
R013 I14,I13,I12
R014 I11,I10,I9
R015 I8,I7,I6
R016 I5,I4,I3
R017 I2,I1
R018 H20,H19,H18
R019 H17,H16,H15,H14,H13
R020 H12,H11
R021 H10,H9
R022 H8,H7
R023 H6,H5
R024 H4,H3,H2
R025 G20,G19,G18
R026 H1
R027 G17,G16,G15,G14,G13,G12,G11,G10,G9
R028 G8,G7
R029 G6,G5
R030 G4,G3
R031 G2
R032 F20,F19,F18
R033 F17,F16,F15,F14
R034 F13,F12,F11,F10
R035 F9,F8,F7
R036 G1
R037 F6,F5
R038 F4,F3
R039 E20,E19,E18,E17
R040 E16,E15,E14,E13,E12,E11,E10,E9,E8
